state,date,frequency,unemployment_rate,estimated_employed,labour_participation_rate,general_region,longitude,latitude,area
Andhra Pradesh,2020-01-31,Monthly,5.48,16635535.0,41.02,South,15.9129,79.74,
Andhra Pradesh,2020-02-29,Monthly,5.83,16545652.0,40.9,South,15.9129,79.74,
Andhra Pradesh,2020-03-31,Monthly,5.79,15881197.0,39.18,South,15.9129,79.74,
Andhra Pradesh,2020-04-30,Monthly,20.51,11336911.0,33.1,South,15.9129,79.74,
Andhra Pradesh,2020-05-31,Monthly,17.43,12988845.0,36.46,South,15.9129,79.74,
Andhra Pradesh,2020-06-30,Monthly,3.31,19805400.0,47.41,South,15.9129,79.74,
Andhra Pradesh,2020-07-31,Monthly,8.34,15431615.0,38.91,South,15.9129,79.74,
Andhra Pradesh,2020-08-31,Monthly,6.96,15251776.0,37.83,South,15.9129,79.74,
Andhra Pradesh,2020-09-30,Monthly,6.4,15220312.0,37.47,South,15.9129,79.74,
Andhra Pradesh,2020-10-31,Monthly,6.59,15157557.0,37.34,South,15.9129,79.74,
Assam,2020-01-31,Monthly,4.66,13051904.0,52.98,Northeast,26.2006,92.9376,
Assam,2020-02-29,Monthly,4.41,10088268.0,40.77,Northeast,26.2006,92.9376,
Assam,2020-03-31,Monthly,4.77,11542888.0,46.73,Northeast,26.2006,92.9376,
Assam,2020-04-30,Monthly,11.06,6830817.0,29.55,Northeast,26.2006,92.9376,
Assam,2020-05-31,Monthly,9.55,11367897.0,48.26,Northeast,26.2006,92.9376,
Assam,2020-06-30,Monthly,0.6,9095944.0,35.07,Northeast,26.2006,92.9376,
Assam,2020-07-31,Monthly,3.77,10286757.0,40.88,Northeast,26.2006,92.9376,
Assam,2020-08-31,Monthly,5.53,9781310.0,39.52,Northeast,26.2006,92.9376,
Assam,2020-09-30,Monthly,1.19,14107641.0,54.38,Northeast,26.2006,92.9376,
Assam,2020-10-31,Monthly,3.02,11949329.0,46.84,Northeast,26.2006,92.9376,
Bihar,2020-01-31,Monthly,10.61,26397671.0,37.72,East,25.0961,85.3131,
Bihar,2020-02-29,Monthly,10.29,26281655.0,37.35,East,25.0961,85.3131,
Bihar,2020-03-31,Monthly,15.43,25717519.0,38.69,East,25.0961,85.3131,
Bihar,2020-04-30,Monthly,46.64,16046236.0,38.17,East,25.0961,85.3131,
Bihar,2020-05-31,Monthly,45.96,16280203.0,38.16,East,25.0961,85.3131,
Bihar,2020-06-30,Monthly,17.82,23963933.0,36.86,East,25.0961,85.3131,
Bihar,2020-07-31,Monthly,12.79,24989370.0,36.14,East,25.0961,85.3131,
Bihar,2020-08-31,Monthly,13.44,23795534.0,34.59,East,25.0961,85.3131,
Bihar,2020-09-30,Monthly,11.91,26902907.0,38.35,East,25.0961,85.3131,
Bihar,2020-10-31,Monthly,9.82,25693252.0,35.7,East,25.0961,85.3131,
Chhattisgarh,2020-01-31,Monthly,9.65,8552172.0,43.08,West,21.2787,81.8661,
Chhattisgarh,2020-02-29,Monthly,8.38,9195114.0,45.58,West,21.2787,81.8661,
Chhattisgarh,2020-03-31,Monthly,7.54,9302317.0,45.59,West,21.2787,81.8661,
Chhattisgarh,2020-04-30,Monthly,3.41,7600448.0,35.58,West,21.2787,81.8661,
Chhattisgarh,2020-05-31,Monthly,10.5,6991217.0,35.23,West,21.2787,81.8661,
Chhattisgarh,2020-06-30,Monthly,14.23,7332807.0,38.48,West,21.2787,81.8661,
Chhattisgarh,2020-07-31,Monthly,10.27,8620294.0,43.14,West,21.2787,81.8661,
Chhattisgarh,2020-08-31,Monthly,5.63,9050422.0,42.97,West,21.2787,81.8661,
Chhattisgarh,2020-09-30,Monthly,1.96,9021854.0,41.14,West,21.2787,81.8661,
Chhattisgarh,2020-10-31,Monthly,6.62,8546847.0,40.82,West,21.2787,81.8661,
Delhi,2020-01-31,Monthly,22.23,5805284.0,47.79,North,28.7041,77.1025,
Delhi,2020-02-29,Monthly,14.84,5856307.0,43.92,North,28.7041,77.1025,
Delhi,2020-03-31,Monthly,17.04,5553805.0,42.65,North,28.7041,77.1025,
Delhi,2020-04-30,Monthly,16.68,3119274.0,23.8,North,28.7041,77.1025,
Delhi,2020-05-31,Monthly,42.27,2632404.0,28.91,North,28.7041,77.1025,
Delhi,2020-06-30,Monthly,18.19,4418914.0,34.17,North,28.7041,77.1025,
Delhi,2020-07-31,Monthly,20.3,4291053.0,33.97,North,28.7041,77.1025,
Delhi,2020-08-31,Monthly,13.79,4850107.0,35.41,North,28.7041,77.1025,
Delhi,2020-09-30,Monthly,12.53,4958373.0,35.59,North,28.7041,77.1025,
Delhi,2020-10-31,Monthly,6.27,4842698.0,32.36,North,28.7041,77.1025,
Goa,2020-01-31,Monthly,8.89,416750.0,35.73,West,15.2993,74.124,
Goa,2020-02-29,Monthly,2.81,478068.0,38.38,West,15.2993,74.124,
Goa,2020-03-31,Monthly,5.25,411761.0,33.88,West,15.2993,74.124,
Goa,2020-04-30,Monthly,13.31,500614.0,44.97,West,15.2993,74.124,
Goa,2020-05-31,Monthly,21.25,378244.0,37.36,West,15.2993,74.124,
Goa,2020-06-30,Monthly,9.96,489111.0,42.21,West,15.2993,74.124,
Goa,2020-07-31,Monthly,17.07,458876.0,42.94,West,15.2993,74.124,
Goa,2020-08-31,Monthly,16.21,473016.0,43.76,West,15.2993,74.124,
Goa,2020-09-30,Monthly,15.38,425004.0,38.89,West,15.2993,74.124,
Goa,2020-10-31,Monthly,11.54,392304.0,34.3,West,15.2993,74.124,
Gujarat,2020-01-31,Monthly,5.54,24126346.0,48.49,West,22.2587,71.1924,
Gujarat,2020-02-29,Monthly,6.38,24757795.0,50.11,West,22.2587,71.1924,
