state,date,frequency,general_region,longitude,latitude,unemployment_rate,estimated_employed,labour_participation_rate
Andhra Pradesh,2019-05-31,Monthly,South,15.9129,79.74,4.87,16787800.0,40.345
Andhra Pradesh,2019-06-30,Monthly,South,15.9129,79.74,3.425,16580511.0,39.405
Andhra Pradesh,2019-07-31,Monthly,South,15.9129,79.74,4.695,16744150.0,39.8
Andhra Pradesh,2019-08-31,Monthly,South,15.9129,79.74,3.965,17028872.0,40.129999999999995
Andhra Pradesh,2019-09-30,Monthly,South,15.9129,79.74,5.59,16990758.0,40.685
Andhra Pradesh,2019-10-31,Monthly,South,15.9129,79.74,4.11,16791789.0,39.709999999999994
Andhra Pradesh,2019-11-30,Monthly,South,15.9129,79.74,5.83,16066453.0,38.81
Andhra Pradesh,2019-12-31,Monthly,South,15.9129,79.74,6.13,17442358.0,41.875
Assam,2019-05-31,Monthly,Northeast,26.2006,92.9376,6.08,13421041.0,51.155
Assam,2019-06-30,Monthly,Northeast,26.2006,92.9376,7.485,10570564.0,44.519999999999996
Assam,2019-07-31,Monthly,Northeast,26.2006,92.9376,3.735,11651372.0,46.265
Assam,2019-08-31,Monthly,Northeast,26.2006,92.9376,8.09,10887621.0,44.82
Assam,2019-09-30,Monthly,Northeast,26.2006,92.9376,6.859999999999999,13044829.0,49.165
Assam,2019-10-31,Monthly,Northeast,26.2006,92.9376,7.91,9991082.0,42.385
Assam,2019-11-30,Monthly,Northeast,26.2006,92.9376,5.484999999999999,11333407.0,45.615
Assam,2019-12-31,Monthly,Northeast,26.2006,92.9376,5.02,1722303.0,44.26
Bihar,2019-05-31,Monthly,East,25.0961,85.3131,14.584999999999999,27351674.0,39.775
Bihar,2019-06-30,Monthly,East,25.0961,85.3131,11.745,27346576.0,39.53
Bihar,2019-07-31,Monthly,East,25.0961,85.3131,14.925,26308619.0,39.01
Bihar,2019-08-31,Monthly,East,25.0961,85.3131,14.33,25254966.0,37.44
Bihar,2019-09-30,Monthly,East,25.0961,85.3131,14.665,26897782.0,38.91
Bihar,2019-10-31,Monthly,East,25.0961,85.3131,13.265,27226569.0,39.38
Bihar,2019-11-30,Monthly,East,25.0961,85.3131,15.010000000000002,25527066.0,38.185
Bihar,2019-12-31,Monthly,East,25.0961,85.3131,12.535,25892387.0,36.769999999999996
Chhattisgarh,2019-05-31,Monthly,West,21.2787,81.8661,9.795,8482148.0,44.25
Chhattisgarh,2019-06-30,Monthly,West,21.2787,81.8661,9.265,8800646.0,44.795
Chhattisgarh,2019-07-31,Monthly,West,21.2787,81.8661,6.355,9039058.0,44.69
Chhattisgarh,2019-08-31,Monthly,West,21.2787,81.8661,5.465,9000094.0,44.73
Chhattisgarh,2019-09-30,Monthly,West,21.2787,81.8661,8.895,8802283.0,45.09
Chhattisgarh,2019-10-31,Monthly,West,21.2787,81.8661,8.615,9340936.0,46.55
Chhattisgarh,2019-11-30,Monthly,West,21.2787,81.8661,5.545,9284215.0,45.075
Chhattisgarh,2019-12-31,Monthly,West,21.2787,81.8661,4.84,8984821.0,44.09
Delhi,2019-05-31,Monthly,North,28.7041,77.1025,12.435,5925962.0,43.25
Delhi,2019-06-30,Monthly,North,28.7041,77.1025,11.045,5699248.0,39.225
Delhi,2019-07-31,Monthly,North,28.7041,77.1025,12.875,5559696.0,41.435
Delhi,2019-08-31,Monthly,North,28.7041,77.1025,15.35,5687917.0,39.055
Delhi,2019-09-30,Monthly,North,28.7041,77.1025,16.545,5808309.0,44.019999999999996
Delhi,2019-10-31,Monthly,North,28.7041,77.1025,14.125,6179874.0,41.84
Delhi,2019-11-30,Monthly,North,28.7041,77.1025,13.61,5618368.0,42.865
Delhi,2019-12-31,Monthly,North,28.7041,77.1025,14.02,5864008.0,39.82
Goa,2019-05-31,Monthly,West,15.2993,74.124,2.83,444195.0,36.665
Goa,2019-06-30,Monthly,West,15.2993,74.124,9.39,474486.0,41.075
Goa,2019-07-31,Monthly,West,15.2993,74.124,11.629999999999999,447804.0,39.905
Goa,2019-08-31,Monthly,West,15.2993,74.124,3.4400000000000004,426880.0,35.79
Goa,2019-09-30,Monthly,West,15.2993,74.124,3.385,472858.0,37.85
Goa,2019-10-31,Monthly,West,15.2993,74.124,9.76,467704.0,40.815
Goa,2019-11-30,Monthly,West,15.2993,74.124,24.455,431101.0,44.655
Goa,2019-12-31,Monthly,West,15.2993,74.124,9.879999999999999,465309.0,40.735
Gujarat,2019-05-31,Monthly,West,22.2587,71.1924,3.485,23641286.0,46.85
Gujarat,2019-06-30,Monthly,West,22.2587,71.1924,5.539999999999999,23344246.0,47.345
Gujarat,2019-07-31,Monthly,West,22.2587,71.1924,4.865,24155106.0,48.375
Gujarat,2019-08-31,Monthly,West,22.2587,71.1924,3.95,23735496.0,47.144999999999996
Gujarat,2019-09-30,Monthly,West,22.2587,71.1924,6.125,22890722.0,46.379999999999995
Gujarat,2019-10-31,Monthly,West,22.2587,71.1924,5.18,24302729.0,48.705
Gujarat,2019-11-30,Monthly,West,22.2587,71.1924,6.105,24383944.0,49.025
Gujarat,2019-12-31,Monthly,West,22.2587,71.1924,4.585,24050637.0,47.629999999999995
Haryana,2019-05-31,Monthly,North,29.0588,76.0856,19.605,7942782.0,44.15
Haryana,2019-06-30,Monthly,North,29.0588,76.0856,21.75,7590368.0,44.144999999999996
Haryana,2019-07-31,Monthly,North,29.0588,76.0856,20.835,7232533.0,40.47
Haryana,2019-08-31,Monthly,North,29.0588,76.0856,27.565,7081311.0,44.05
Haryana,2019-09-30,Monthly,North,29.0588,76.0856,21.6,7803818.0,44.21
Haryana,2019-10-31,Monthly,North,29.0588,76.0856,22.605,7620289.0,44.325
Haryana,2019-11-30,Monthly,North,29.0588,76.0856,21.825,7280002.0,40.83
Haryana,2019-12-31,Monthly,North,29.0588,76.0856,26.604999999999997,7152319.0,43.485
Himachal Pradesh,2019-05-31,Monthly,North,31.1048,77.1734,12.280000000000001,2291428.0,44.75
Himachal Pradesh,2019-06-30,Monthly,North,31.1048,77.1734,16.43,2194657.0,45.379999999999995
Himachal Pradesh,2019-07-31,Monthly,North,31.1048,77.1734,21.05,2152718.0,47.065
Himachal Pradesh,2019-08-31,Monthly,North,31.1048,77.1734,21.52,2205563.0,48.04
Himachal Pradesh,2019-09-30,Monthly,North,31.1048,77.1734,13.99,2287014.0,45.445
Himachal Pradesh,2019-10-31,Monthly,North,31.1048,77.1734,19.79,2179279.0,46.25
Himachal Pradesh,2019-11-30,Monthly,North,31.1048,77.1734,25.064999999999998,2257438.0,50.335
Himachal Pradesh,2019-12-31,Monthly,North,31.1048,77.1734,22.39,2164187.0,48.3
Jammu & Kashmir,2019-05-31,Monthly,North,33.7782,76.5762,17.91,3625325.0,43.655
Jammu & Kashmir,2019-06-30,Monthly,North,33.7782,76.5762,15.985,3563557.0,42.095
Jammu & Kashmir,2019-07-31,Monthly,North,33.7782,76.5762,17.61,3733086.0,44.754999999999995
Jammu & Kashmir,2019-08-31,Monthly,North,33.7782,76.5762,11.32,2778624.0,44.17
Jammu & Kashmir,2019-10-31,Monthly,North,33.7782,76.5762,21.665,3506708.0,42.855000000000004
Jammu & Kashmir,2019-11-30,Monthly,North,33.7782,76.5762,14.51,3642517.0,42.305
Jammu & Kashmir,2019-12-31,Monthly,North,33.7782,76.5762,7.02,1209085.0,40.71
Jharkhand,2019-05-31,Monthly,East,23.6102,85.2799,12.17,9439799.0,41.144999999999996
Jharkhand,2019-06-30,Monthly,East,23.6102,85.2799,14.485000000000001,9646693.0,42.315
Jharkhand,2019-07-31,Monthly,East,23.6102,85.2799,12.825,9392983.0,41.239999999999995
Jharkhand,2019-08-31,Monthly,East,23.6102,85.2799,16.155,9350762.0,42.09
Jharkhand,2019-09-30,Monthly,East,23.6102,85.2799,14.14,9857749.0,42.71
Jharkhand,2019-10-31,Monthly,East,23.6102,85.2799,12.81,10221439.0,43.575
Jharkhand,2019-11-30,Monthly,East,23.6102,85.2799,12.705,9703909.0,41.715
Jharkhand,2019-12-31,Monthly,East,23.6102,85.2799,18.580000000000002,9163607.0,42.115
Karnataka,2019-05-31,Monthly,South,15.3173,75.7139,6.01,22549679.0,43.489999999999995
Karnataka,2019-06-30,Monthly,South,15.3173,75.7139,5.49,21750988.0,42.004999999999995
Karnataka,2019-07-31,Monthly,South,15.3173,75.7139,1.405,20907837.0,38.755
Karnataka,2019-08-31,Monthly,South,15.3173,75.7139,0.8200000000000001,21300810.0,38.985
Karnataka,2019-09-30,Monthly,South,15.3173,75.7139,3.385,22389686.0,41.725
Karnataka,2019-10-31,Monthly,South,15.3173,75.7139,5.5,21602776.0,41.400000000000006
Karnataka,2019-11-30,Monthly,South,15.3173,75.7139,2.315,20151052.0,37.525000000000006
Karnataka,2019-12-31,Monthly,South,15.3173,75.7139,0.985,21348508.0,38.79
Kerala,2019-05-31,Monthly,South,10.8505,76.2711,6.37,9790268.0,37.36
Kerala,2019-06-30,Monthly,South,10.8505,76.2711,7.835,10284001.0,39.805
